,target,f1_x,f2_x,f3_x,f4_x,f5_x,f6_x,f7_x,f8_x,f9_x,f1_y,f2_y,f3_y,f4_y,f5_y,f6_y,f7_y,f8_y,f9_y
133,0,1,1,1,1,2,2,2,1,2,0,0,1,3,2,2,0,0,2
134,0,3,4,1,3,2,2,0,1,2,0,0,1,3,2,2,0,0,2
135,0,2,1,1,3,2,2,1,0,2,0,0,1,3,2,2,0,0,2
136,0,3,1,1,0,2,3,1,2,2,0,0,1,3,2,2,0,0,2
137,0,2,2,1,0,2,2,0,2,2,0,0,1,3,2,2,0,0,2
138,0,2,1,1,0,0,2,0,1,1,3,1,0,2,2,3,0,3,2
139,1,2,0,1,1,0,2,1,1,1,3,1,0,2,2,3,0,3,2
140,0,3,4,1,3,2,2,2,1,2,3,1,0,2,2,3,0,3,2
141,0,2,0,1,3,2,3,0,3,2,3,1,0,2,2,3,0,3,2
142,0,3,1,1,4,0,2,0,1,2,3,1,0,2,2,3,0,3,2
143,0,1,0,1,3,2,2,1,4,2,3,1,0,2,2,3,0,3,2
144,0,2,1,1,0,0,2,0,1,1,2,2,1,0,0,2,1,1,1
145,1,1,1,1,0,2,3,0,0,2,2,2,1,0,0,2,1,1,1
146,0,2,0,1,0,2,1,0,0,2,2,2,1,0,0,2,1,1,1
147,0,2,1,1,0,2,3,3,3,2,2,2,1,0,0,2,1,1,1
148,0,2,4,1,1,2,3,0,2,2,2,2,1,0,0,2,1,1,1
149,1,3,0,1,0,2,2,0,1,2,2,2,1,0,0,2,1,1,1
150,1,3,2,1,0,0,2,0,2,2,2,1,1,1,2,0,1,3,2
151,0,0,1,1,1,0,2,0,2,1,2,1,1,1,2,0,1,3,2
152,0,2,1,1,1,2,1,1,2,1,2,1,1,1,2,0,1,3,2
153,0,0,1,1,3,2,2,1,1,1,2,1,1,1,2,0,1,3,2
154,0,0,0,1,1,2,2,1,2,2,2,1,1,1,2,0,1,3,2
155,0,3,2,1,0,0,2,0,2,2,0,0,0,2,2,3,1,3,2
156,0,3,1,1,3,2,1,3,0,2,0,0,0,2,2,3,1,3,2
157,1,1,1,0,2,0,1,1,2,1,0,0,0,2,2,3,1,3,2
158,0,2,0,2,4,2,2,1,3,2,0,0,0,2,2,3,1,3,2
159,1,0,4,0,0,0,2,2,3,2,0,0,0,2,2,3,1,3,2
160,0,3,2,1,0,0,2,0,2,2,2,4,0,2,2,2,0,4,2
161,0,3,2,1,3,2,2,1,4,2,2,4,0,2,2,2,0,4,2
162,0,2,4,1,0,2,3,1,2,2,2,4,0,2,2,2,0,4,2
163,0,2,1,0,2,2,1,1,3,2,2,4,0,2,2,2,0,4,2
164,0,3,2,1,0,0,2,0,2,2,1,4,1,3,2,2,3,1,2
165,0,0,2,1,0,2,2,0,4,2,1,4,1,3,2,2,3,1,2
166,0,1,2,1,3,2,2,1,3,2,1,4,1,3,2,2,3,1,2
167,0,1,1,1,1,2,1,0,4,2,1,4,1,3,2,2,3,1,2
168,0,1,0,1,3,2,2,0,2,2,1,4,1,3,2,2,3,1,2
169,0,1,1,1,3,2,3,1,4,2,1,4,1,3,2,2,3,1,2
170,0,3,2,1,0,0,2,0,2,2,3,1,1,0,2,0,1,2,2
171,0,3,2,1,3,2,2,0,4,2,3,1,1,0,2,0,1,2,2
172,0,3,1,1,1,2,2,3,4,2,3,1,1,0,2,0,1,2,2
173,0,3,2,1,0,0,2,0,2,2,3,4,0,1,2,2,0,1,2
174,0,2,1,0,3,0,2,1,0,2,3,4,0,1,2,2,0,1,2
175,0,2,1,0,1,2,2,1,3,2,3,4,0,1,2,2,0,1,2
176,0,3,1,1,0,2,3,1,4,2,3,4,0,1,2,2,0,1,2
177,0,2,1,1,1,0,2,0,4,1,3,4,0,1,2,2,0,1,2
178,0,3,4,1,3,2,3,0,3,2,3,4,0,1,2,2,0,1,2
179,1,2,1,1,1,1,2,0,4,2,3,4,0,1,2,2,0,1,2
180,0,3,2,1,0,0,2,0,2,2,2,2,1,3,0,2,0,1,1
181,1,0,2,1,0,2,1,1,0,2,2,2,1,3,0,2,0,1,1
182,0,2,1,1,0,1,2,0,3,2,2,2,1,3,0,2,0,1,1
183,0,2,0,1,0,0,3,0,3,2,2,2,1,3,0,2,0,1,1
184,0,2,1,1,3,0,1,0,2,1,2,2,1,3,0,2,0,1,1
185,1,1,1,1,3,2,3,1,2,1,2,2,1,3,0,2,0,1,1
186,0,3,1,1,3,0,2,0,0,2,2,2,1,3,0,2,0,1,1
187,0,2,1,1,1,2,2,3,2,2,0,4,1,0,2,2,1,3,2
188,0,2,4,1,3,2,2,1,2,2,0,4,1,0,2,2,1,3,2
189,0,2,1,1,3,0,2,0,2,1,0,4,1,0,2,2,1,3,2
190,0,2,1,1,1,2,2,3,2,2,3,4,1,1,2,1,0,1,2
191,0,2,4,1,3,2,1,1,3,2,3,4,1,1,2,1,0,1,2
192,0,2,1,1,3,1,2,0,1,2,3,4,1,1,2,1,0,1,2
193,1,1,1,1,3,0,2,1,2,1,3,4,1,1,2,1,0,1,2
194,0,0,1,1,1,2,2,0,0,2,3,4,1,1,2,1,0,1,2
195,1,0,1,1,3,2,1,1,4,2,3,4,1,1,2,1,0,1,2
196,0,2,1,1,1,2,2,3,2,2,3,1,1,1,2,1,0,0,2
197,0,2,1,1,0,2,3,0,1,2,3,1,1,1,2,1,0,0,2
198,0,1,1,1,1,2,2,0,0,2,3,1,1,1,2,1,0,0,2
199,0,1,1,1,0,2,3,0,0,2,0,0,1,1,2,2,1,1,2
200,0,2,2,1,1,2,2,0,3,2,0,0,1,1,2,2,1,1,2
201,1,1,1,1,0,2,2,3,0,2,0,0,1,1,2,2,1,1,2
202,0,2,1,1,0,1,2,0,2,2,0,0,1,1,2,2,1,1,2
203,1,1,1,1,1,2,1,0,1,1,0,0,1,1,2,2,1,1,2
204,1,1,1,1,0,2,3,0,0,2,3,0,1,0,2,2,0,1,2
205,0,1,1,1,0,2,3,0,0,2,2,0,1,0,0,2,0,2,2
206,1,1,1,1,1,2,2,2,1,2,2,0,1,0,0,2,0,2,2
207,0,1,1,1,0,2,3,0,0,2,2,2,1,0,2,2,3,2,2
208,1,2,1,1,0,2,3,0,1,2,2,2,1,0,2,2,3,2,2
209,0,1,1,1,0,2,3,0,0,2,3,4,1,3,2,1,0,3,2
210,1,2,2,1,1,2,2,1,2,2,3,4,1,3,2,1,0,3,2
211,0,1,1,1,0,2,3,0,0,2,2,2,1,3,2,2,0,1,1
212,0,2,1,1,0,2,2,1,4,2,2,2,1,3,2,2,0,1,1
213,0,3,1,1,0,2,3,1,2,2,2,2,1,3,2,2,0,1,1
214,0,3,1,1,0,2,2,1,3,2,2,2,1,3,2,2,0,1,1
215,1,3,4,1,0,2,2,3,3,2,1,1,1,1,2,3,0,0,1
216,0,2,4,1,0,2,2,3,1,2,1,1,1,1,2,3,0,0,1
217,1,3,1,1,0,2,2,3,0,2,1,1,1,1,2,3,0,0,1
218,0,3,4,1,0,2,2,3,3,2,1,2,0,2,2,2,0,2,2
219,0,0,1,1,0,2,1,0,2,1,1,2,0,2,2,2,0,2,2
220,0,2,2,0,1,2,2,0,1,2,1,2,0,2,2,2,0,2,2
221,0,1,0,1,0,2,2,3,3,2,1,2,0,2,2,2,0,2,2
222,0,3,4,1,3,2,2,3,0,2,1,2,0,2,2,2,0,2,2
223,0,1,1,1,1,2,2,2,3,2,1,2,0,2,2,2,0,2,2
224,0,2,2,1,2,2,2,1,0,1,1,2,0,2,2,2,0,2,2
225,1,0,1,1,1,2,1,1,2,2,1,2,0,2,2,2,0,2,2
226,0,2,2,1,3,2,2,2,0,1,1,2,0,2,2,2,0,2,2
227,1,3,4,1,0,2,2,3,2,2,1,2,0,2,2,2,0,2,2
228,0,3,4,1,0,2,2,3,3,2,2,1,1,3,0,1,2,0,1
229,0,1,0,1,0,0,2,0,2,1,2,1,1,3,0,1,2,0,1
230,1,3,1,1,1,2,2,3,4,2,2,1,1,3,0,1,2,0,1
231,0,1,4,0,3,2,3,1,3,2,2,1,1,3,0,1,2,0,1
232,0,2,4,1,0,2,3,3,4,2,2,1,1,3,0,1,2,0,1
233,0,3,4,1,0,2,2,3,3,2,1,1,0,2,2,1,1,3,2
234,0,1,1,0,2,2,3,0,3,2,1,1,0,2,2,1,1,3,2
235,0,2,0,1,0,2,2,3,2,2,1,1,0,2,2,1,1,3,2
236,1,2,0,1,1,2,3,2,3,2,1,1,0,2,2,1,1,3,2
237,0,3,4,1,0,2,2,3,3,2,0,4,0,0,0,1,1,1,1
238,0,3,0,1,0,2,3,1,2,2,0,4,0,0,0,1,1,1,1
239,0,3,4,1,0,2,2,3,3,2,2,2,1,0,1,2,2,1,2
240,0,2,4,1,0,0,2,0,3,2,2,2,1,0,1,2,2,1,2
241,0,1,0,1,0,2,3,1,2,2,2,2,1,0,1,2,2,1,2
242,0,1,1,1,1,0,2,2,2,1,2,2,1,0,1,2,2,1,2
243,0,3,4,1,0,2,2,3,3,2,3,1,0,2,2,2,0,3,2
244,1,3,4,1,0,2,2,0,4,2,3,1,0,2,2,2,0,3,2
245,0,3,1,0,2,2,2,0,0,2,3,1,0,2,2,2,0,3,2
246,1,3,4,1,0,0,2,0,4,2,3,1,0,2,2,2,0,3,2
247,0,2,1,0,2,2,2,0,4,2,3,1,0,2,2,2,0,3,2
248,1,1,1,1,2,2,2,2,0,2,1,4,0,3,2,3,1,3,2
249,0,2,0,1,3,2,0,0,3,2,1,4,0,3,2,3,1,3,2
250,1,0,1,1,0,2,1,1,0,1,1,4,0,3,2,3,1,3,2
251,0,2,1,1,0,2,3,3,3,2,1,4,0,3,2,3,1,3,2
252,0,3,1,1,0,1,2,0,1,2,1,4,0,3,2,3,1,3,2
253,1,1,1,1,2,2,2,2,0,2,0,1,1,0,2,1,1,0,1
254,0,2,0,1,0,2,2,3,1,2,0,1,1,0,2,1,1,0,1
255,0,1,1,1,2,2,2,2,0,2,2,1,1,2,2,2,3,4,2
256,0,2,1,1,3,2,2,3,2,1,2,1,1,2,2,2,3,4,2
257,0,2,1,1,1,2,1,0,0,2,2,1,1,2,2,2,3,4,2
258,0,1,1,1,2,2,2,2,0,2,1,1,1,3,1,1,3,1,2
259,0,2,1,1,1,2,1,0,0,1,1,1,1,3,1,1,3,1,2
260,0,2,2,1,0,0,2,1,1,1,1,1,1,3,1,1,3,1,2
261,0,1,0,1,1,2,2,0,0,1,1,1,1,3,1,1,3,1,2
262,1,1,2,1,0,0,2,1,0,2,1,1,1,3,1,1,3,1,2
263,0,1,1,0,2,2,2,3,3,2,1,1,1,3,1,1,3,1,2
264,0,2,2,1,0,1,2,2,1,2,1,1,1,3,1,1,3,1,2
265,1,1,1,1,0,2,1,1,1,1,2,4,1,3,2,2,3,2,2
266,0,2,1,1,3,2,1,1,0,2,2,4,1,3,2,2,3,2,2
267,1,0,1,1,0,2,2,3,3,2,2,4,1,3,2,2,3,2,2
268,0,2,0,1,3,2,2,0,4,2,2,4,1,3,2,2,3,2,2
269,0,3,0,1,3,2,1,1,0,2,0,1,1,1,2,1,1,2,1
270,0,2,2,1,0,0,2,0,3,2,0,1,1,1,2,1,1,2,1
271,0,3,4,1,3,2,3,0,0,2,0,1,1,1,2,1,1,2,1
272,0,3,2,1,0,2,2,1,4,2,0,1,1,1,2,1,1,2,1
273,0,0,2,1,3,2,2,1,4,2,0,1,1,1,2,1,1,2,1
274,1,3,0,1,3,2,1,1,0,2,1,1,1,1,0,2,0,1,1
275,0,2,1,1,3,2,2,3,2,1,1,1,1,1,0,2,0,1,1
276,0,2,1,1,3,1,2,0,1,2,1,1,1,1,0,2,0,1,1
277,0,2,1,1,1,2,1,0,2,1,1,1,1,1,0,2,0,1,1
278,0,3,0,1,3,2,1,1,0,2,1,2,1,3,2,1,1,3,2
279,0,3,1,1,3,2,2,2,1,2,1,2,1,3,2,1,1,3,2
280,1,3,0,1,3,2,1,1,0,2,3,1,1,2,2,2,1,0,1
281,0,2,1,1,1,0,2,0,0,2,3,1,1,2,2,2,1,0,1
282,0,0,1,1,3,2,2,1,2,1,3,1,1,2,2,2,1,0,1
283,0,1,1,1,0,0,2,1,1,1,3,1,1,2,2,2,1,0,1
284,1,1,1,1,1,0,2,0,1,1,3,1,1,2,2,2,1,0,1
285,0,3,0,1,3,2,1,1,0,2,2,4,1,1,2,2,2,1,1
286,0,1,1,1,0,0,2,1,1,1,2,4,1,1,2,2,2,1,1
287,0,1,0,1,0,2,3,0,4,2,2,4,1,1,2,2,2,1,1
288,0,3,0,1,3,2,1,1,0,2,0,1,1,0,2,1,3,2,2
289,0,2,1,1,0,2,2,1,1,1,0,1,1,0,2,1,3,2,2
290,1,0,4,1,0,0,2,0,2,2,0,1,1,0,2,1,3,2,2
291,1,1,0,1,0,2,1,0,1,1,0,1,1,0,2,1,3,2,2
292,0,3,0,1,3,2,1,1,0,2,0,1,0,2,2,3,3,4,2
293,0,2,4,1,0,2,1,3,3,2,0,1,0,2,2,3,3,4,2
294,0,3,1,1,2,2,3,0,0,2,0,1,0,2,2,3,3,4,2
295,0,2,1,1,0,0,2,2,2,1,0,1,0,2,2,3,3,4,2
296,0,1,0,1,0,2,3,3,4,2,0,1,0,2,2,3,3,4,2
297,0,3,0,1,3,2,1,1,0,2,1,1,1,1,2,1,3,3,2
298,0,1,1,1,0,0,1,1,1,2,1,1,1,1,2,1,3,3,2
299,0,3,1,1,3,2,1,0,0,2,1,1,1,1,2,1,3,3,2
300,1,1,1,1,0,2,2,1,1,2,1,1,1,1,2,1,3,3,2
301,0,1,4,1,1,0,2,0,0,2,2,0,0,2,2,2,0,4,2
302,0,3,0,1,1,2,1,1,3,2,2,0,0,2,2,2,0,4,2
303,1,3,4,1,0,2,1,0,4,2,2,0,0,2,2,2,0,4,2
304,1,2,1,1,2,0,2,1,0,1,2,0,0,2,2,2,0,4,2
305,0,1,4,1,0,0,2,3,3,2,2,0,0,2,2,2,0,4,2
306,0,1,4,1,1,0,2,0,0,2,0,0,0,3,2,3,0,3,2
307,0,2,1,1,0,0,2,1,1,1,0,0,0,3,2,3,0,3,2
308,0,2,0,1,0,2,2,2,3,2,0,0,0,3,2,3,0,3,2
309,0,1,2,0,0,2,2,0,3,2,0,0,0,3,2,3,0,3,2
310,0,3,4,1,3,2,3,0,3,2,0,0,0,3,2,3,0,3,2
311,1,1,1,1,0,0,3,3,4,2,0,0,0,3,2,3,0,3,2
312,0,1,4,1,1,0,2,0,0,2,0,1,0,2,0,1,2,2,2
313,0,0,1,1,1,2,1,1,1,1,0,1,0,2,0,1,2,2,2
314,0,1,1,0,3,2,1,1,2,1,0,1,0,2,0,1,2,2,2
315,0,2,4,1,3,2,3,1,3,2,0,1,0,2,0,1,2,2,2
316,0,2,2,1,2,2,2,1,0,1,0,1,0,2,0,1,2,2,2
317,0,1,2,2,4,2,2,0,2,2,0,1,0,2,0,1,2,2,2
318,0,1,2,1,3,2,1,0,1,1,0,1,0,2,0,1,2,2,2
319,0,2,4,2,1,2,2,2,1,2,0,1,0,2,0,1,2,2,2
320,1,2,2,0,1,0,1,0,2,1,0,1,0,2,0,1,2,2,2
321,0,2,4,1,1,2,1,0,2,2,2,0,0,2,2,2,0,0,2
322,0,1,0,1,3,2,2,1,3,2,2,0,0,2,2,2,0,0,2
323,0,3,0,1,3,2,2,0,4,2,2,0,0,2,2,2,0,0,2
324,1,0,1,1,1,2,1,1,1,1,2,0,0,2,2,2,0,0,2
325,0,2,4,0,1,2,2,0,1,2,2,0,0,2,2,2,0,0,2
326,1,3,0,1,0,2,2,3,2,2,2,0,0,2,2,2,0,0,2
327,1,2,4,1,1,2,1,0,2,2,2,0,1,3,2,3,0,0,2
328,0,2,4,1,0,2,2,1,1,2,2,0,1,3,2,3,0,0,2
329,0,2,2,1,1,2,2,0,3,2,2,0,1,3,2,3,0,0,2
330,0,3,0,1,0,2,2,1,4,2,2,0,1,3,2,3,0,0,2
331,1,2,0,1,1,2,1,0,2,2,2,0,1,3,2,3,0,0,2
332,0,1,4,1,3,2,2,0,1,2,2,0,1,3,2,3,0,0,2
333,0,0,1,1,0,2,2,0,0,2,2,0,1,3,2,3,0,0,2
334,1,2,4,1,1,2,1,0,2,2,2,0,1,1,2,1,0,2,2
335,0,2,1,1,0,2,3,0,4,2,2,0,1,1,2,1,0,2,2
336,0,1,1,1,0,2,1,0,1,1,2,0,1,1,2,1,0,2,2
337,0,2,4,1,1,2,1,0,2,2,0,2,1,3,2,2,1,0,2
338,0,1,0,1,3,2,3,0,0,2,0,2,1,3,2,2,1,0,2
339,0,3,4,1,3,2,3,0,0,2,0,2,1,3,2,2,1,0,2
340,0,2,1,1,1,2,1,0,0,1,0,2,1,3,2,2,1,0,2
341,0,2,4,1,0,2,2,0,4,2,0,2,1,3,2,2,1,0,2
342,0,1,0,1,3,2,1,0,2,2,0,2,1,3,2,2,1,0,2
343,0,1,1,1,3,2,1,0,1,1,1,4,1,0,0,2,1,1,1
344,0,3,4,1,3,2,3,0,0,2,1,4,1,0,0,2,1,1,1
